repo_name,is_opt_final,is_opt_arch_keyword,is_opt_arch_llm,is_opt_arch_final
php-ext-zstd,0,0,0,0
php-fann,文件不存在,文件不存在,文件不存在,文件不存在
php-ffi,0,0,0,0
php-glfw,文件不存在,文件不存在,文件不存在,文件不存在
php-go,文件不存在,文件不存在,文件不存在,文件不存在
php-gtk3,文件不存在,文件不存在,文件不存在,文件不存在
php-jsond,1,0,0,0
php-jwt,0,0,0,0
php-leveldb,文件不存在,文件不存在,文件不存在,文件不存在
php-lua,文件不存在,文件不存在,文件不存在,文件不存在
php-memcached,0,0,0,0
php-memory-profiler,0,0,0,0
php-nsq,文件不存在,文件不存在,文件不存在,文件不存在
php-opencv,0,0,0,0
php-opengl,文件不存在,文件不存在,文件不存在,文件不存在
php-postal,文件不存在,文件不存在,文件不存在,文件不存在
php-psr,文件不存在,文件不存在,文件不存在,文件不存在
php-rdkafka,0,0,0,0
php-scrypt,文件不存在,文件不存在,文件不存在,文件不存在
php-sdl,文件不存在,文件不存在,文件不存在,文件不存在
php-spx,0,0,0,0
php-src,131,23,23,7
php-tensorflow,文件不存在,文件不存在,文件不存在,文件不存在
php-vips-ext,文件不存在,文件不存在,文件不存在,文件不存在
php-xhprof-extension,0,0,0,0
php-zbarcode,文件不存在,文件不存在,文件不存在,文件不存在
php-zephir-parser,文件不存在,文件不存在,文件不存在,文件不存在
php-zmq,文件不存在,文件不存在,文件不存在,文件不存在
php-zookeeper,文件不存在,文件不存在,文件不存在,文件不存在
php7-wxwork-finance-sdk,文件不存在,文件不存在,文件不存在,文件不存在
phpiredis,文件不存在,文件不存在,文件不存在,文件不存在
phpmicro,文件不存在,文件不存在,文件不存在,文件不存在
phpredis,1,0,0,0
phpsci-carray,文件不存在,文件不存在,文件不存在,文件不存在
phpspy,0,0,0,0
phptdlib,文件不存在,文件不存在,文件不存在,文件不存在
phpx,0,0,0,0
phxpaxos,文件不存在,文件不存在,文件不存在,文件不存在
phxqueue,文件不存在,文件不存在,文件不存在,文件不存在
