repo_name,all_commit,one_file,c_language,is_opt_keyword,has_file,has_file_with_func,one_func,one_func_deduplicate,is_opt_llm,is_opt_final
mysql-protobuf,119413,39291,23204,902,901,901,457,文件不存在,文件不存在,文件不存在
mysql-ripple,20,10,7,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mysql-server,184772,56007,33713,1610,1607,1607,758,455,588,123
mysql-shell,5603,1484,596,26,26,26,17,17,17,4
mysql-sniffer,60,51,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mysql-unsha1,20,18,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mysql-workbench,4940,2100,837,10,10,10,4,4,4,1
mysql2redis,29,25,11,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mysql_fdw,256,105,72,3,3,3,2,2,2,0
mystikos,2424,983,378,13,13,13,4,4,4,2
mytetra_dev,1263,212,163,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
mythtv,43126,22932,17980,781,780,780,454,454,454,128
n-days,10,6,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
n1ghtshade,53,22,10,2,2,2,2,2,2,0
n2n,1426,753,409,12,12,12,6,文件不存在,文件不存在,文件不存在
n2p2,504,116,52,3,3,3,0,文件不存在,文件不存在,文件不存在
n3n,2398,1263,699,15,15,15,8,8,8,5
n64,144,67,36,2,2,2,0,文件不存在,文件不存在,文件不存在
n64-fast3d-engine,17,6,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
n64bootloader,12,6,3,0,0,0,0,文件不存在,0,0
n64brew2023,56,13,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
n64chain,94,28,13,1,1,1,1,1,1,1
nCine,490,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nDPI,5100,2325,1546,128,128,128,69,69,69,4
nOS,340,94,83,3,3,3,0,文件不存在,文件不存在,文件不存在
nQuantCpp,899,618,504,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nRF24L01,43,29,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nRF24_jammer,76,45,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nRF5-SDK-for-Mesh,14,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nRF52-Bluetooth-Course,77,59,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nRFBox,65,54,9,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nSkinz,94,50,33,1,1,1,0,文件不存在,文件不存在,文件不存在
nSnake,264,87,48,1,1,1,0,文件不存在,文件不存在,文件不存在
nacos-sdk-cpp,410,208,126,3,3,3,2,2,2,1
naemon-core,4155,2018,1441,58,58,58,20,9,9,4
naett,107,58,36,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
naev,41155,24864,10112,263,263,263,129,129,129,38
nagios-plugins,3890,2574,1318,37,37,37,18,18,10,0
nagioscore,3699,1701,1092,40,40,40,11,11,11,5
nailgun,16,13,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
naive-hashcat,15,13,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
naiveproxy,60,32,16,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nakama-unreal,140,52,12,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
naken_asm,2629,893,595,5,5,5,1,1,1,0
nalu-wind,2476,883,520,28,28,28,0,文件不存在,文件不存在,文件不存在
namecoin-legacy,1308,595,421,17,17,17,11,8,8,7
named-operator,19,14,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nameof,550,365,244,14,14,14,1,1,1,0
nan,1279,744,323,4,4,4,2,2,2,1
nana,2280,1091,728,25,25,25,8,8,8,1
nana-creator,86,23,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanbox,6,3,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nand_programmer,551,273,158,1,1,1,0,文件不存在,文件不存在,文件不存在
nann,68132,31198,8113,723,723,723,369,2,2,1
nano,10439,4902,3738,191,191,191,87,1,1,0
nano-node,7092,2436,1941,103,103,103,61,61,61,12
nano-signal-slot,178,79,47,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nano-win,10424,4892,3737,190,190,190,86,86,86,29
nanoDAP,115,66,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanoDAP-HS,26,10,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanoDLA,36,22,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanoMODBUS,196,98,53,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nano_stepper,104,52,17,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanobench,453,244,106,9,9,9,5,5,5,2
nanobind,1068,420,187,15,15,15,4,4,4,2
nanobyte_os,65,28,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanocube,972,453,46,2,2,2,0,文件不存在,文件不存在,文件不存在
nanodbc,1333,794,377,11,11,11,5,5,5,2
nanodet-opncv-dnn-cpp-python,18,16,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanodet-plus-opencv,4,3,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanodump,235,50,12,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanoels,401,332,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanoem,423,197,12,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanoflann,567,319,166,8,8,8,7,7,7,5
nanofoc_devkit,25,18,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanogui,550,257,137,3,3,3,0,文件不存在,文件不存在,文件不存在
nanogui-sdl,128,45,28,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanoid_cpp,20,11,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanomq,3607,2242,1261,20,20,20,12,12,12,4
nanomsg,1671,796,369,18,18,18,6,6,6,0
nanomsgxx,130,68,19,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanopb,1536,807,203,9,9,9,3,3,3,1
nanopolish,1479,810,492,39,39,39,24,24,24,3
nanoprintf,339,200,66,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanorobeus,13,1,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanorpc,41,17,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanort,552,268,139,4,4,4,1,1,1,1
nanos,3431,1394,1081,42,42,42,8,8,8,5
nanospline,340,112,68,1,1,1,0,文件不存在,文件不存在,文件不存在
nanostl,140,44,24,1,1,1,0,文件不存在,文件不存在,文件不存在
nanosvg,175,129,119,4,4,4,0,文件不存在,文件不存在,文件不存在
nanotts,94,31,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanovg,416,245,214,5,5,5,4,4,4,2
nanovg-rs,375,178,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanovg-zig,108,64,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nanovgXC,29,5,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nap,10747,3438,1858,52,51,51,27,27,27,5
napajs,271,93,15,1,1,1,0,文件不存在,文件不存在,文件不存在
napoca,20,10,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nappgui_src,200,14,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
narwhal,262,127,49,1,1,1,1,1,1,0
natasha,294,167,103,12,12,12,6,6,6,2
nathanlr,21,2,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
native-shim,21,14,11,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
native_context_menu,21,4,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nativefiledialog-extended,274,179,54,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nativescript-app-sync,88,43,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
natmap,138,90,31,1,1,1,0,文件不存在,文件不存在,文件不存在
nats.c,1104,289,190,5,5,5,5,5,5,3
natsort,49,39,14,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nature,778,29,11,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
nautilus,25753,10663,4230,105,105,105,46,46,46,19
navcoin-core,2818,1704,1082,10,10,10,3,3,3,2
navicat-keygen,2,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
