repo_name,all_commit,one_file,c_language,is_opt_keyword,has_file,has_file_with_func,one_func,one_func_deduplicate,is_opt_llm,is_opt_final
--original--Trajectory-optimization-based-on-Bezier-polynomial-motion-planning-,13,12,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
-Mirai-Iot-BotNet,19,17,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
-STM32-RoboMaster-,46,16,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
-VideoToolboxDemo,3,2,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
-eBPF-,29,15,8,2,2,2,0,文件不存在,文件不存在,文件不存在
007,127,28,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
00Key,141,24,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
01_all_series_quickstart,74,15,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
04_BattleTank,128,25,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0CC-FamiTracker,1493,433,376,7,7,7,2,2,2,0
0cchext,182,102,24,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0day,378,194,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0pack,31,19,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0syscall6,8,5,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0x00sec_code,17,6,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0xUBypass,7,5,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
0xdarkvortex-MalwareDevelopment,10,9,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
100-days-of-code,1310,679,43,5,5,5,0,文件不存在,文件不存在,文件不存在
123elf,292,188,53,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
1541ultimate,2422,873,487,21,21,21,8,文件不存在,文件不存在,文件不存在
1541ultimate2,2365,843,473,19,19,19,8,8,8,1
15445-bootcamp,41,25,21,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
16n,210,117,10,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
180-Questions-Striver-SDE-sheet-in-CPP,1760,1471,761,3,0,0,0,文件不存在,文件不存在,文件不存在
1964GEPD,67,43,31,2,1,1,0,文件不存在,文件不存在,文件不存在
1PasswordSuite,4,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
1brc,31,5,2,1,1,1,0,文件不存在,文件不存在,文件不存在
1earn,278,68,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
1st-CLaaS,540,205,21,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2016_person_re-ID,82,72,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2018AICity_TeamUW,85,55,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2019-Electronic-Design-Competition,110,36,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2019Fall-CSAPP,24,16,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2020,192,174,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2021-Postgraduate-408,458,435,22,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2024-2,108,77,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2048,14,9,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2048-cli,117,44,18,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2048-in-terminal,99,56,24,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2048.c,182,154,88,11,11,11,5,5,5,0
2048.cpp,376,179,98,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
21st-Century-Examples,37,22,17,0,0,0,0,文件不存在,0,0
240pTestSuite,1240,232,148,8,7,7,4,4,4,2
24h2-nt-exploit,1,0,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2D-3D-pose-tracking,13,10,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2D-Minecraft,32,19,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2bwm,486,367,228,1,1,1,1,1,1,0
2d-engine,11,0,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
2ship2harkinian,3211,811,625,11,11,11,6,6,6,1
3-weeks-Google-Prep,27,17,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3.7Inch-Eink,32,32,7,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30-days-of-Dynamic-Programming,116,93,17,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30-seconds-of-cpp,935,633,96,1,1,1,0,文件不存在,文件不存在,文件不存在
30cc,211,47,26,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30dayMakeCppServer,178,86,17,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30dayMakeOS,268,101,78,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
30daysCppWebServer,55,15,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
315Mhz-jammer,4,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
32-FUNCTION-BUTTON-BOX,7,7,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
32blit-sdk,3272,1959,1242,48,48,48,15,15,15,7
34-QMK-Ferris-Sweep,2,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
360-VJ,245,91,35,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
360Controller,563,314,41,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
360tools,31,15,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
36keys,197,117,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
386bsd,5,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
389-ds-base,6903,3563,2048,100,99,99,39,39,39,10
3D-Eye-Tracker,39,26,4,2,2,2,1,1,1,1
3D-Face-Landmark-in-UnityCG-HLSL,52,9,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-Game-Programming,38,33,22,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-Graphics-Rendering-Cookbook,115,72,23,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-Graphics-Rendering-Cookbook-Second-Edition,91,43,8,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-LIDAR-Multi-Object-Tracking,100,66,22,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-ObjectDetection-and-Pose-Estimation,25,22,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D-Registration-with-Maximal-Cliques,179,159,29,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DAudioVisualizers,26,12,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DEngineCpp,150,43,12,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DGS.cpp,60,38,4,1,1,1,0,文件不存在,文件不存在,文件不存在
3DGS_NOTES,5,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DLineDetection,14,12,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DObjectTracking,40,23,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DShell,45,21,16,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DSident,154,70,45,1,1,1,0,文件不存在,文件不存在,文件不存在
3DStreamingToolkit,923,243,86,2,2,2,1,1,1,1
3DSync,8,4,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DUNDERWORLD-SLS-GPU_CPU,164,72,11,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DUNDERWORLD-Structured-Light-Scanner,52,42,33,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3DWorld,17211,7311,6535,613,613,613,293,293,293,185
3D_Face_Reconstrction,84,78,31,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D_Fundamentals,114,34,33,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3D_Ground_Segmentation,4,3,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3Dmigoto,3306,1598,1082,41,41,41,15,15,15,5
3FS,6,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3PU,22,15,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3RScan,26,14,3,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3RVX,2544,1383,1080,5,5,5,2,2,2,1
3TS,123,51,34,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3bc-lang,274,134,27,1,1,1,0,文件不存在,文件不存在,文件不存在
3d-ascii-viewer,85,50,37,2,2,2,1,1,1,0
3d-game-shaders-for-beginners,1,0,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3d_bbs,111,30,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3dfier,1490,709,354,14,13,13,5,5,5,0
3dmatch-toolbox,69,35,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3dmm_basic,17,10,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3dmm_cnn,26,23,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3dmr,34,24,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3ds-examples,334,147,96,1,1,1,0,文件不存在,文件不存在,文件不存在
3ds-hbmenu,119,75,53,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3ds_homemenuhax,341,184,62,1,1,1,1,1,1,0
3dstool,193,28,10,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3dti_AudioToolkit,350,151,99,6,6,6,5,5,5,1
3dtiles,236,146,50,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
3dzavr,217,64,34,6,6,6,3,3,3,2
3proxy,765,438,296,6,6,6,1,1,1,0
3snake,37,21,9,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
4,149,92,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
4-legged-robot-model,149,141,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
4.4BSD-Lite2,32,7,3,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
408CSFamily,462,133,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
42,95,56,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
42-Bitwise_Operators,30,24,17,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
42-exam-miner,115,72,43,1,1,1,0,文件不存在,文件不存在,文件不存在
42-examrank,69,35,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
42.Exam-C,26,25,22,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
42.Piscine-C,6,5,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
42Barcelona-FdF,205,86,21,2,2,2,0,文件不存在,文件不存在,文件不存在
42_CheatSheet,58,41,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
42cursus-00-Libft,13,9,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
42sp-piscine,31,5,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
433Screen-SignalHacker,88,47,3,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
433Utils,68,48,16,1,1,1,1,1,1,0
44vba,30,13,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
486,42,26,8,1,1,1,0,文件不存在,文件不存在,文件不存在
4DRadarSLAM,40,36,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
4IFIR,526,366,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
4coder,2231,468,385,11,11,11,5,5,5,2
4d_association,17,11,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
4klang,24,11,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
4mc,122,67,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
4store,851,474,305,10,10,10,2,2,2,0
4xMacropad,21,11,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
50AH-code,68,8,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
50YearsOfRayTracing,351,69,33,1,1,1,1,1,1,0
51-Single-chip,9,5,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
56vfs,53,16,3,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
5G-Modem-Support,138,43,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
5ghoul-5g-nr-attacks,32,21,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
6-AXIS-USBCNC-GRBL,38,34,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
6-Pack_CNC_Controller,128,49,16,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
6.824,18,9,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
60-and-90-degree-V-Groove-Bit,30,27,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
64klang,35,25,3,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
6502,55,16,13,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
6502-cpp,100,48,42,3,3,3,2,2,2,1
6502Emulator,48,8,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
6DOF-Rotary-Stewart-Motion-Simulator,140,100,1,1,1,1,0,文件不存在,文件不存在,文件不存在
6d-pat,669,286,20,2,2,2,1,1,1,0
6lbr,14893,8658,5303,161,160,160,43,43,43,4
6tunnel,48,23,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
7-Taskbar-Tweaker,11,4,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
7-Zip,156,2,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
7-Zip-CVE-2025-0411-POC,4,4,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
7-Zip-JBinding-4Android,41,14,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
7-Zip-zstd,612,201,74,4,4,4,0,文件不存在,文件不存在,文件不存在
7.5inch_Multifunctional_E-Paper,20,19,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
7kaa,2182,1103,805,14,14,14,11,11,11,3
7z,100,0,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
7zip,10,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
7zip-cpp,231,108,31,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
7zipDarkmode,35,29,7,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
8051-examples,71,15,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
8080,24,13,7,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
80x86,1235,554,195,9,9,9,4,4,4,3
86Box,14208,7808,6548,148,148,148,45,45,45,15
8812au-20210820,65,30,14,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
8814au,186,115,32,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
8821au-20210708,242,137,33,1,1,1,0,文件不存在,文件不存在,文件不存在
8821cu-20210916,200,82,26,2,2,2,0,文件不存在,文件不存在,文件不存在
88x2bu-20210702,220,109,32,2,2,2,0,文件不存在,文件不存在,文件不存在
8BitAnalysers,1495,488,310,22,22,22,8,8,8,0
8cc,766,294,257,7,7,7,0,文件不存在,文件不存在,文件不存在
90DaysDSA,185,158,115,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
912-notes,265,125,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
98fmplayer,213,97,79,1,1,1,0,文件不存在,文件不存在,文件不存在
9DOF_Razor_IMU,39,14,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
9cc,267,76,68,1,1,1,0,文件不存在,文件不存在,文件不存在
9hist,2656,745,731,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
9wm,140,97,43,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
A-LOAM,70,31,10,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
A-LOAM-NOTED,76,36,12,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
A-Tiny-Network-Library,41,29,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
A1-QP-MPC-Controller,27,13,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
A6lib,69,40,24,1,1,1,0,文件不存在,文件不存在,文件不存在
A8PicoCart,18,10,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AA-SIPP-m,82,45,9,1,1,1,0,文件不存在,文件不存在,文件不存在
AA2Unlimited,1836,763,393,3,3,3,2,2,2,0
AACS,86,38,4,1,1,1,1,1,1,0
AAMED,23,5,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ABQ-LLM,57,33,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ABY,347,173,97,6,6,6,4,4,4,0
AC,8278,4009,2265,36,36,36,16,16,16,3
ACE,1236,640,476,40,40,40,11,11,11,5
ACE_TAO,91316,36516,12083,91,88,88,31,31,31,10
ACLLib,21,8,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ACM-ICPC-Algorithms,1421,1099,534,15,0,0,0,文件不存在,文件不存在,文件不存在
ACM-ICPC-Library,36,28,28,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ACM-Library,1015,811,732,27,3,3,3,3,3,0
ACMFinalsSolutions,12,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ACMMP,11,10,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ACMSIMC_TUT,61,28,3,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ACM_Notebook_new,942,611,353,12,11,11,1,1,1,0
ACS712,49,16,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ACSC,19,12,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ACVD,298,170,77,4,4,4,0,文件不存在,文件不存在,文件不存在
ACVM,22,11,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AChat,18,8,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AChoir,311,127,79,3,3,3,1,1,1,0
AD-Census,41,12,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AD-control-paths,119,49,9,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AD9833-Library-Arduino,50,40,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ADBI,2,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ADBench,1365,717,167,8,8,8,3,3,3,0
ADC,298,137,78,4,4,4,0,文件不存在,文件不存在,文件不存在
ADCSCoercePotato,7,6,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ADCTouch,22,15,7,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ADEKF,80,48,17,3,3,3,3,3,3,1
ADI,86,18,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ADI-Stable-Diffusion,262,112,10,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ADIOS2,10466,3704,2042,19,19,19,10,10,10,3
ADLplug,559,226,68,2,2,2,1,1,1,0
ADOL-C,1031,562,339,6,6,6,1,1,1,1
ADOP,82,30,7,2,2,2,1,1,1,0
ADS,761,379,198,14,14,14,10,10,10,3
ADS1115_WE,252,227,31,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ADS1X15,62,12,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ADVi3pp,20298,10079,8835,305,305,305,122,1,1,0
ADVobfuscator,56,27,15,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AEC3,5,4,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AEPIC,5,2,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AES,15,10,4,1,1,1,1,1,1,0
AES-Encryption-Classes,119,92,12,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AESDumpster,29,18,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AESJniEncrypt,144,84,11,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AESLib,38,19,10,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AE_tl_math,735,442,133,1,1,1,1,1,1,0
AFFBWheel,67,13,3,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AFL,53,33,14,6,6,6,5,3,3,1
AFL-Snapshot-LKM,46,20,6,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AFLI_Calib,8,6,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AFLplusplus,7221,3707,1824,68,67,67,22,22,22,9
AGS_SDK,85,30,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AGV_dijkstra,5,4,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AHHH,29,27,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AHTxx,94,94,28,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AHU-CS-Repository,194,76,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AI-Computing-System-Lab,22,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AI-Radio,4,1,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AI-Toolbox,1750,790,563,38,38,38,13,13,13,4
AI-homework,24,6,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AI-on-the-edge-device,2030,915,246,4,4,4,3,3,3,1
AIAssistC,54,28,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AIAssistOnnx,31,12,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AIAssistOpenCV,9,5,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AICS-Course,81,43,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AIDA-X,229,115,33,3,3,3,3,3,3,2
AIFM,15,11,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AIGCJson,31,7,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AIJack,940,541,66,4,3,3,0,文件不存在,文件不存在,文件不存在
AIMPYouTube,101,45,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AIOC,188,103,35,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AIS-catcher,5983,3720,1636,9,9,9,5,5,5,2
AIfES_for_Arduino,32,19,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AKWF-FREE,36,13,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ALADDIN,840,238,161,11,11,11,8,8,8,3
ALEX,67,31,20,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ALIGN-public,6867,2961,684,8,8,8,5,5,5,1
ALL_SCHOOL_42,1217,979,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ALPSCore,4792,2284,1809,139,134,134,35,35,35,2
ALS-Community,516,232,99,5,4,4,3,3,3,2
ALS-Refactored,643,118,65,6,6,6,5,5,5,1
ALSReplicated,17,7,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ALSXT,453,62,14,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ALVR,386,139,43,5,5,5,2,2,2,0
AM32,229,113,69,2,2,2,2,2,2,0
AM32-MultiRotor-ESC-firmware,216,116,41,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AMDMIGraphX,5787,2201,1546,42,42,42,21,21,21,14
AMF,139,55,34,2,2,2,0,文件不存在,文件不存在,文件不存在
AMFIExemption,6,3,2,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AMMesh,13,3,3,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AMP-Research,110,75,5,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AMQP-CPP,979,548,282,28,27,27,2,2,2,0
AMSI-Provider,8,7,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AMSI_VEH,6,5,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AMSI_patch,4,3,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
AMSPlusCore,27,8,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ANARI-SDK,639,225,123,4,4,4,2,2,2,0
ANESE,204,32,19,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ANETools,14,11,0,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ANMS-Codes,67,35,4,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
ANNetGPGPU,16,3,1,0,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在,文件不存在
